epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2559,1.03471,3.0898,1.41167,0.00339,1,0.1888,0.11219,0.48956,3.08505,1.03413,6.668e-05,6.668e-05,6.668e-05
2,25.3759,0.96561,3.03752,1.37135,0.00331,1,0.52224,0.46869,0.37176,3.04512,0.92907,0.000149733,0.000149733,0.000149733
3,36.8784,0.74492,2.21034,1.17778,0.00338,1,0.8537,0.76035,0.43722,2.86663,0.94532,0.000232456,0.000232456,0.000232456
4,48.5836,0.76023,1.67731,1.21811,0.0033,1,0.91871,0.70527,0.5233,2.83213,1.03567,0.000314849,0.000314849,0.000314849
5,60.8288,0.67649,1.29685,1.14125,0.0033,1,0.97967,0.77122,0.56551,2.75454,1.02333,0.000396911,0.000396911,0.000396911
6,73.3181,0.66034,1.11671,1.11862,0.96848,0.85138,0.98682,0.78171,0.6088,2.42686,1.10187,0.000478644,0.000478644,0.000478644
7,86.0906,0.63169,1.02181,1.09032,1,0.94718,0.99324,0.88474,0.50128,2.55765,1.11685,0.000560047,0.000560047,0.000560047
8,99.1596,0.64527,0.96923,1.09471,0.9817,0.77393,0.99026,0.86234,0.51683,2.19372,1.01004,0.000641119,0.000641119,0.000641119
9,112.361,0.67749,0.99409,1.10502,0.99885,0.79714,0.995,0.86063,0.51776,2.17486,1.04396,0.000721862,0.000721862,0.000721862
10,127.182,0.60387,0.88112,1.03521,0.94246,0.57787,0.98473,0.71099,0.76926,2.41276,1.32965,0.000802274,0.000802274,0.000802274
11,136.785,0.68692,0.93138,1.10644,0.79531,0.86668,0.995,0.84501,0.55504,1.80573,1.06911,0.000882356,0.000882356,0.000882356
12,146.634,0.67151,0.8769,1.07022,0.84375,0.81207,0.92427,0.75175,0.59635,1.83062,1.12378,0.000962109,0.000962109,0.000962109
13,156.598,0.63906,0.83787,1.07778,0.93171,0.9375,0.97593,0.85244,0.55351,1.43113,1.08972,0.00104153,0.00104153,0.00104153
14,166.467,0.67888,0.84244,1.09267,0.94118,0.98635,0.98562,0.82915,0.64886,1.36905,1.10559,0.00112062,0.00112062,0.00112062
15,176.563,0.6622,0.85397,1.09395,0.78125,0.72329,0.94473,0.66352,0.71955,1.73083,1.14066,0.00119939,0.00119939,0.00119939
16,186.926,0.64393,0.8132,1.0686,0.87836,0.90693,0.9373,0.819,0.58112,1.31336,1.06372,0.00127782,0.00127782,0.00127782
17,197.985,0.64804,0.78192,1.07074,0.63516,0.90154,0.917,0.74569,0.67863,1.72856,1.10098,0.00135592,0.00135592,0.00135592
18,210.124,0.66424,0.79436,1.08301,0.85293,0.90804,0.90698,0.65687,0.81184,1.71848,1.23954,0.00143369,0.00143369,0.00143369
19,222.287,0.64096,0.74159,1.07506,0.78994,0.6875,0.81771,0.62209,0.7342,1.92636,1.1403,0.00151113,0.00151113,0.00151113
20,234.668,0.66251,0.73108,1.08167,0.62453,0.58333,0.57249,0.37675,0.85226,1.97674,1.36572,0.00158824,0.00158824,0.00158824
21,247.718,0.61583,0.74224,1.06206,0.54191,0.89104,0.78755,0.4946,0.97568,1.82173,1.41759,0.00160099,0.00160099,0.00160099
22,261.856,0.65063,0.70144,1.06469,0.60713,0.85172,0.68994,0.46721,0.9389,2.01154,1.41577,0.00159769,0.00159769,0.00159769
23,274.491,0.65215,0.70208,1.06905,0.69613,0.88114,0.76483,0.49251,0.91834,2.80739,1.31331,0.00159439,0.00159439,0.00159439
24,288.589,0.61455,0.64868,1.03196,0.79022,0.93157,0.91282,0.65088,0.89788,2.13249,1.33119,0.00159108,0.00159108,0.00159108
25,302.635,0.57413,0.60455,1.03411,0.81475,0.95705,0.91676,0.62229,1.18009,1.72854,1.55227,0.00158778,0.00158778,0.00158778
26,317.697,0.63034,0.59566,1.06266,0.8315,0.95292,0.93682,0.40548,1.72541,1.62245,2.07311,0.00158448,0.00158448,0.00158448
27,329.868,0.61119,0.65161,1.03546,0.49628,0.68185,0.75712,0.4834,1.74633,1.78157,2.0674,0.00158118,0.00158118,0.00158118
28,340.464,0.60047,0.57946,1.02541,0.5,0.33596,0.46112,0.38013,1.37668,2.53116,1.60243,0.00157788,0.00157788,0.00157788
29,351.981,0.59535,0.54564,1.04867,0.65905,0.85417,0.66162,0.5181,0.76737,1.47629,1.2355,0.00157458,0.00157458,0.00157458
30,364.23,0.60163,0.5614,1.05501,0.57308,0.875,0.74931,0.63143,0.60768,1.19691,1.0967,0.00157128,0.00157128,0.00157128
31,376.905,0.58327,0.54843,1.04828,0.9089,0.83333,0.96214,0.87835,0.5243,0.84058,0.99703,0.00156798,0.00156798,0.00156798
32,389.826,0.5931,0.54695,1.03315,0.9668,0.86874,0.95618,0.65315,0.92465,1.05338,1.47874,0.00156468,0.00156468,0.00156468
33,399.543,0.60092,0.54665,1.0498,0.89416,0.73473,0.89395,0.69086,0.86718,1.23712,1.37972,0.00156138,0.00156138,0.00156138
34,408.654,0.58372,0.52412,1.05212,0.95242,0.99751,0.9934,0.84993,0.55422,0.62427,1.04157,0.00155808,0.00155808,0.00155808
35,417.277,0.57737,0.48546,1.02472,0.97545,0.99702,0.995,0.86678,0.51153,0.58584,0.9748,0.00155478,0.00155478,0.00155478
36,425.992,0.55604,0.47843,1.01351,0.98341,0.99631,0.995,0.90638,0.4854,0.55463,0.98639,0.00155148,0.00155148,0.00155148
37,479.245,0.56694,0.50561,1.01659,0.99474,1,0.995,0.91243,0.4345,0.51938,0.93777,0.00154818,0.00154818,0.00154818
38,556.413,0.58772,0.52784,1.0419,0.9509,1,0.99192,0.90975,0.45617,0.54745,0.939,0.00154488,0.00154488,0.00154488
39,598.427,0.61872,0.49143,1.03678,0.99175,0.99483,0.995,0.91468,0.42319,0.47253,0.91547,0.00154157,0.00154157,0.00154157
40,650.651,0.58199,0.46303,1.03769,0.98815,0.97217,0.995,0.89962,0.46797,0.50706,0.95455,0.00153827,0.00153827,0.00153827
41,711.725,0.58606,0.47795,1.03615,0.99163,1,0.995,0.90352,0.48699,0.57364,0.97831,0.00153497,0.00153497,0.00153497
42,778.146,0.52588,0.44797,1.00502,0.7996,1,0.97203,0.78349,0.57925,0.96939,1.03808,0.00153167,0.00153167,0.00153167
43,822.903,0.52311,0.43757,1.0011,0.85743,0.9565,0.98457,0.90032,0.42909,0.70135,0.92226,0.00152837,0.00152837,0.00152837
44,862.692,0.55891,0.43724,1.01408,0.91129,0.9614,0.995,0.91249,0.39839,0.60674,0.90506,0.00152507,0.00152507,0.00152507
45,908.122,0.58169,0.46862,1.04229,0.99014,1,0.995,0.91815,0.40658,0.4149,0.89915,0.00152177,0.00152177,0.00152177
46,942.77,0.53233,0.43094,1.02499,0.98333,1,0.995,0.91887,0.44886,0.51496,0.91876,0.00151847,0.00151847,0.00151847
47,952.512,0.56941,0.45575,1.04407,0.98576,1,0.995,0.90484,0.42723,0.48103,0.92291,0.00151517,0.00151517,0.00151517
48,962.1,0.51847,0.41378,1.00842,0.92695,0.9296,0.98294,0.73286,0.93911,0.92548,1.57032,0.00151187,0.00151187,0.00151187
49,972.793,0.53857,0.41505,1.01189,0.95685,0.99071,0.991,0.74251,0.93641,1.20966,1.57251,0.00150857,0.00150857,0.00150857
50,981.807,0.57373,0.44011,1.05293,0.91106,1,0.99,0.90713,0.46203,1.05188,0.9519,0.00150527,0.00150527,0.00150527
51,990.83,0.56096,0.41852,1.0207,0.84082,1,0.98117,0.86723,0.55916,1.17955,1.02426,0.00150197,0.00150197,0.00150197
52,1000.16,0.54264,0.41325,1.01078,0.83734,0.89583,0.97016,0.81833,0.60581,1.12762,1.02941,0.00149867,0.00149867,0.00149867
53,1009.76,0.5447,0.41561,1.00784,0.71593,0.9049,0.87501,0.72653,0.67474,1.54247,1.14568,0.00149537,0.00149537,0.00149537
54,1019.64,0.54381,0.40038,1.00555,0.65996,0.9548,0.89323,0.77742,0.48571,1.62583,0.94263,0.00149207,0.00149207,0.00149207
55,1030.53,0.52001,0.37934,0.99194,0.77692,0.89583,0.88846,0.80768,0.43219,1.12634,0.90429,0.00148876,0.00148876,0.00148876
56,1041.63,0.53144,0.40465,1.00219,0.96828,0.95833,0.99192,0.90503,0.43436,0.61635,0.91644,0.00148546,0.00148546,0.00148546
57,1053,0.48051,0.38264,0.97355,0.79149,0.96455,0.93936,0.85784,0.43014,0.75965,0.92469,0.00148216,0.00148216,0.00148216
58,1064.89,0.55925,0.3982,1.02144,0.69685,1,0.82881,0.75787,0.42342,1.16972,0.9078,0.00147886,0.00147886,0.00147886
59,1073.67,0.52201,0.39872,0.99639,0.97228,1,0.995,0.91889,0.39791,0.37495,0.90558,0.00147556,0.00147556,0.00147556
60,1082.11,0.5248,0.38713,1.00962,0.97651,0.95983,0.995,0.91129,0.42563,0.40627,0.91802,0.00147226,0.00147226,0.00147226
61,1090.51,0.5108,0.39232,1.00261,0.9947,1,0.995,0.91279,0.40444,0.31634,0.89556,0.00146896,0.00146896,0.00146896
62,1098.9,0.488,0.37214,0.98355,0.99692,1,0.995,0.92749,0.3907,0.28194,0.87851,0.00146566,0.00146566,0.00146566
63,1107.61,0.49104,0.37516,0.98972,0.9939,1,0.995,0.91592,0.3964,0.28516,0.89666,0.00146236,0.00146236,0.00146236
64,1116.38,0.48713,0.3465,0.98182,0.9838,1,0.995,0.92443,0.39684,0.36316,0.89427,0.00145906,0.00145906,0.00145906
65,1125.69,0.51375,0.35705,1.00527,0.99488,1,0.995,0.9395,0.39708,0.33315,0.89023,0.00145576,0.00145576,0.00145576
66,1135.36,0.51991,0.38071,1.0208,0.99572,1,0.995,0.90615,0.44591,0.39207,0.91347,0.00145246,0.00145246,0.00145246
67,1144.88,0.5303,0.37471,0.99261,0.99482,1,0.995,0.86633,0.46382,0.38992,0.92221,0.00144916,0.00144916,0.00144916
68,1155.88,0.53968,0.36946,1.00732,0.99172,1,0.995,0.92012,0.40158,0.28079,0.89246,0.00144586,0.00144586,0.00144586
69,1166.6,0.50653,0.37197,0.98279,0.98707,1,0.995,0.93004,0.39576,0.29802,0.89187,0.00144256,0.00144256,0.00144256
70,1177.8,0.49809,0.36186,0.97731,0.99564,0.96266,0.995,0.93037,0.38766,0.32933,0.87823,0.00143925,0.00143925,0.00143925
71,1189.24,0.52632,0.3585,0.98035,0.98347,0.96079,0.995,0.90399,0.40833,0.32833,0.87854,0.00143595,0.00143595,0.00143595
72,1197.44,0.5319,0.36607,1.01108,0.98308,0.96476,0.995,0.91102,0.46559,0.35475,0.92848,0.00143265,0.00143265,0.00143265
73,1205.98,0.49122,0.34297,0.9629,0.99241,1,0.995,0.90657,0.50318,0.34142,0.9719,0.00142935,0.00142935,0.00142935
74,1214.59,0.51916,0.36897,1.01493,0.99641,1,0.995,0.93307,0.41492,0.30069,0.90908,0.00142605,0.00142605,0.00142605
75,1223.63,0.5389,0.37649,0.99114,0.99517,1,0.995,0.93465,0.39492,0.27937,0.90195,0.00142275,0.00142275,0.00142275
76,1232.6,0.53926,0.36549,1.0148,0.99633,1,0.995,0.92668,0.3843,0.2685,0.87691,0.00141945,0.00141945,0.00141945
77,1242.92,0.49786,0.35072,0.9777,0.99677,1,0.995,0.91176,0.41297,0.27227,0.91154,0.00141615,0.00141615,0.00141615
78,1253.36,0.49955,0.35436,0.99049,0.99598,1,0.995,0.9164,0.39485,0.25994,0.88711,0.00141285,0.00141285,0.00141285
79,1263.66,0.50048,0.34213,0.97757,0.99629,1,0.995,0.93139,0.37683,0.24116,0.88525,0.00140955,0.00140955,0.00140955
80,1274.83,0.49497,0.32833,0.97668,0.99506,1,0.995,0.9441,0.37451,0.2767,0.87717,0.00140625,0.00140625,0.00140625
81,1286.07,0.46032,0.32428,0.97718,0.8851,0.98051,0.99031,0.81341,0.64509,0.70476,1.1187,0.00140295,0.00140295,0.00140295
82,1297.47,0.50103,0.33163,0.98796,0.99589,1,0.995,0.93739,0.39846,0.26667,0.90208,0.00139965,0.00139965,0.00139965
83,1308.81,0.48406,0.34074,0.96518,0.9963,1,0.995,0.92488,0.38653,0.25239,0.89841,0.00139635,0.00139635,0.00139635
84,1320.82,0.51075,0.33814,0.99819,0.99666,1,0.995,0.92964,0.40115,0.25806,0.89973,0.00139305,0.00139305,0.00139305
85,1328.88,0.51263,0.35483,0.99387,0.99592,1,0.995,0.90561,0.42991,0.28135,0.9094,0.00138974,0.00138974,0.00138974
86,1337.11,0.46805,0.31946,0.96393,0.99222,1,0.995,0.93768,0.38561,0.28704,0.8799,0.00138644,0.00138644,0.00138644
87,1345.61,0.49585,0.35405,0.9908,0.98695,1,0.995,0.94002,0.3699,0.30787,0.87841,0.00138314,0.00138314,0.00138314
88,1354.42,0.49951,0.33015,0.9938,0.98505,1,0.995,0.92273,0.38615,0.34231,0.89128,0.00137984,0.00137984,0.00137984
